"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Azir","Middle",245,"24.4%","15.8%","40.2%","48%","50%",789,582,1248,3.5,"69.3%","19.1%","13%",-54,27,-0.6,9.1,"27.4%",631,"29.8%","24.5%",0.44,0.28
"Gragas","Middle",48,"4.8%","10.2%","28.9%","42%","67%",87,135,291,2.8,"64.5%","21.0%","13%",-54,84,-1.8,7.7,"22.9%",451,"22.4%","19.7%",0.35,0.22
"Xerath","Middle",9,"0.9%","0.4%","1.3%","22%","100%",27,22,33,2.7,"73.2%","22.0%","22%",-55,16,-3.2,8.5,"22.9%",733,"36.1%","22.8%",0.48,0.06
"K'Sante","Top",446,"44.4%","25.7%","73.1%","50%","40%",981,1010,2224,3.2,"56.7%","18.3%","7%",-56,-51,-2.6,7.9,"23.0%",405,"19.3%","21.0%",0.4,0.16
"Jayce","Top",27,"2.7%","30.7%","53.7%","41%","22%",61,89,125,2.1,"60.6%","23.0%","22%",-57,-180,2,8.6,"26.8%",618,"28.8%","24.1%",0.48,0.24
"Sivir","ADC",16,"1.6%","0.6%","2.2%","38%","94%",53,41,93,3.6,"69.2%","17.6%","6%",-57,-85,-0.9,9.9,"33.0%",659,"29.3%","26.0%",0.47,0.39
"Xayah","ADC",354,"35.3%","20.7%","56.0%","54%","56%",1434,783,1801,4.1,"69.6%","17.7%","11%",-65,-6,-1.8,10.1,"33.6%",592,"27.6%","27.1%",0.41,0.36
"Sylas","Top",5,"0.5%","6.9%","10.9%","80%","100%",21,16,38,3.7,"66.3%","32.0%","40%",-68,-57,-10,7.8,"26.5%",539,"24.3%","22.3%",0.39,0.17
"Yuumi","Support",68,"6.8%","13.0%","19.8%","47%","56%",29,89,534,6.3,"83.5%","12.6%","12%",-70,262,-6.1,0.2,"0.5%",256,"12.1%","8.7%",1.33,0.09
"Darius","Top",5,"0.5%","0.1%","0.6%","40%","100%",18,18,18,2,"67.9%","27.3%","0%",-79,286,-2,8.1,"26.3%",433,"23.2%","23.7%",0.31,0.18
"Tahm Kench","Support",20,"2.0%","1.8%","3.8%","35%","85%",10,55,121,2.4,"67.5%","20.5%","5%",-81,51,2.4,1.1,"1.8%",164,"8.4%","8.9%",1.65,0.28
"Sejuani","Top",3,"0.3%","31.0%","64.8%","33%","0%",3,12,6,0.8,"50.0%","29.3%","0%",-85,-40,0.5,7.6,"17.3%",416,"25.7%","20.1%",0.39,0.22
"Gnar","Top",117,"11.7%","11.2%","22.8%","53%","74%",237,324,488,2.2,"52.7%","21.6%","4%",-86,57,1.7,8.9,"25.4%",519,"25.1%","23.8%",0.41,0.19
"Pantheon","Support",1,"0.1%","0.0%","0.1%","0%","0%",0,6,5,0.8,"62.5%","28.6%","0%",-86,51,3,1.3,"3.1%",183,"12.6%","7.9%",1.81,0.34
"Skarner","Jungle",9,"0.9%","0.7%","1.6%","56%","100%",9,15,78,5.8,"79.1%","16.3%","11%",-86,64,3.1,5.1,"12.4%",161,"7.6%","16.1%",0.39,0.4
"Maokai","Jungle",269,"26.8%","24.6%","53.3%","57%","40%",446,709,2131,3.6,"75.1%","21.1%","16%",-87,-61,-1.2,5,"12.8%",410,"18.1%","16.7%",0.34,0.34
"Nautilus","Jungle",15,"1.5%","18.7%","52.2%","67%","53%",14,44,128,3.2,"67.0%","26.3%","40%",-93,-173,-7.8,4.7,"13.1%",220,"9.1%","15.0%",0.41,0.32
"Cassiopeia","Middle",17,"1.7%","2.9%","4.6%","35%","76%",33,45,67,2.2,"62.1%","21.2%","18%",-94,-172,-1.8,8.6,"23.9%",446,"22.5%","22.7%",0.54,0.19
"Kai'Sa","ADC",267,"26.6%","17.6%","45.2%","55%","18%",1447,549,1318,5,"73.1%","16.5%","15%",-94,-30,-2.1,10,"32.5%",691,"30.3%","27.8%",0.59,0.37
"Sion","Top",132,"13.1%","8.1%","21.8%","45%","42%",165,334,720,2.6,"57.0%","19.9%","7%",-108,-45,-4.7,7.3,"21.2%",435,"20.8%","19.2%",0.41,0.15
"Poppy","Jungle",109,"10.9%","25.7%","42.1%","49%","64%",190,279,774,3.5,"71.7%","20.5%","23%",-109,-153,-4.2,5,"13.2%",246,"11.5%","16.2%",0.4,0.41
"Gragas","Top",129,"12.8%","10.2%","28.9%","57%","56%",184,253,653,3.3,"52.0%","18.5%","5%",-110,30,-3.7,7.6,"22.2%",459,"22.3%","19.6%",0.38,0.16
"Ivern","Jungle",50,"5.0%","11.4%","16.3%","54%","62%",59,81,466,6.5,"81.0%","13.8%","18%",-113,41,-0.9,4.9,"12.3%",219,"9.9%","16.3%",0.37,0.37
"Miss Fortune","ADC",1,"0.1%","0.1%","0.2%","0%","100%",2,5,4,1.2,"42.9%","33.3%","0%",-113,341,8,9.6,"33.3%",565,"24.7%","25.4%",0.5,0.36
"Amumu","Jungle",2,"0.2%","0.1%","0.7%","100%","100%",5,6,15,3.3,"66.7%","33.3%","0%",-118,-112,2,5.5,"14.9%",255,"11.1%","17.7%",0.27,0.35
"Blitzcrank","Support",73,"7.3%","9.4%","16.6%","55%","93%",61,251,575,2.5,"60.0%","26.6%","10%",-119,-184,0,1.1,"2.0%",163,"7.6%","8.9%",1.74,0.32
"Taliyah","Middle",60,"6.0%","4.9%","10.9%","47%","65%",163,154,384,3.6,"68.3%","19.5%","13%",-119,-97,-4.4,8.7,"26.1%",583,"25.9%","22.8%",0.45,0.17
"Jhin","Support",1,"0.1%","0.1%","0.6%","0%","100%",1,1,0,1,"50.0%","9.1%","0%",-121,783,-2,1.1,"5.5%",243,"16.7%","11.1%",2.62,0.69
"Akali","Middle",53,"5.3%","5.0%","10.7%","32%","79%",180,149,173,2.4,"62.7%","20.9%","2%",-124,93,-0.3,8.2,"25.2%",441,"23.4%","23.1%",0.3,0.19
"Irelia","Top",4,"0.4%","0.4%","0.9%","0%","100%",10,14,2,0.9,"54.5%","20.9%","0%",-151,178,-4,8.5,"28.4%",317,"23.0%","27.7%",0.4,0.1
"Aatrox","Top",39,"3.9%","2.5%","6.4%","38%","54%",102,122,142,2,"60.5%","22.8%","3%",-153,5,-4.3,8.3,"25.0%",510,"25.1%","22.4%",0.4,0.19
"Gangplank","Top",13,"1.3%","0.6%","1.9%","69%","85%",42,39,79,3.1,"64.7%","26.4%","23%",-153,-93,-8.5,8.2,"26.8%",720,"30.4%","26.0%",0.39,0.1
"Ezreal","ADC",42,"4.2%","1.8%","6.1%","40%","81%",142,89,196,3.8,"70.1%","15.5%","10%",-154,-53,-2.1,9.5,"30.4%",684,"30.0%","25.9%",0.42,0.3
"Ezreal","Middle",1,"0.1%","1.8%","6.1%","0%","100%",0,2,2,1,"50.0%","11.1%","0%",-159,-367,-8,9.9,"31.9%",646,"28.4%","24.6%",0.55,0.19
"Ziggs","ADC",18,"1.8%","4.8%","7.2%","56%","83%",54,40,84,3.5,"65.4%","16.4%","11%",-161,141,3.8,9.2,"28.5%",770,"36.5%","25.0%",0.42,0.23
"Amumu","Support",4,"0.4%","0.1%","0.7%","50%","100%",2,14,25,1.9,"69.2%","31.8%","0%",-164,-111,-0.8,1.1,"2.7%",127,"6.2%","7.9%",1.76,0.36
"Vex","Middle",5,"0.5%","0.1%","0.6%","80%","100%",19,13,37,4.3,"68.3%","23.6%","0%",-191,-251,-9,7.7,"18.9%",566,"25.0%","21.1%",0.59,0.2
"Kalista","ADC",7,"0.7%","0.7%","1.5%","29%","57%",25,19,25,2.6,"60.2%","18.3%","14%",-195,74,1.7,9.1,"31.1%",371,"19.3%","26.9%",0.45,0.42
"Volibear","Top",1,"0.1%","1.0%","1.9%","0%","100%",0,3,2,0.7,"50.0%","27.3%","0%",-197,-259,-2,9,"27.2%",726,"49.5%","22.5%",0.32,0.25
"Malphite","Top",61,"6.1%","6.8%","12.8%","38%","87%",80,156,317,2.5,"58.7%","18.2%","5%",-207,-130,-9.1,7.7,"22.9%",419,"22.0%","20.3%",0.41,0.19
"Seraphine","Middle",1,"0.1%","0.2%","0.4%","100%","100%",3,1,6,9,"69.2%","11.1%","0%",-231,-142,-3,8,"20.3%",686,"27.8%","22.2%",0.54,0.21
"Gragas","Jungle",10,"1.0%","10.2%","28.9%","0%","70%",14,45,48,1.4,"56.9%","22.0%","0%",-238,-4,1.4,5.6,"17.3%",387,"16.6%","16.9%",0.46,0.29
"Gragas","Support",1,"0.1%","10.2%","28.9%","100%","100%",1,2,8,4.5,"52.9%","18.2%","0%",-248,-3,-1,1.2,"2.3%",248,"9.5%","9.6%",1.83,0.35
"Diana","Jungle",3,"0.3%","0.1%","0.4%","0%","100%",7,11,9,1.5,"76.2%","22.0%","0%",-249,-183,-11,6.6,"18.8%",389,"23.4%","20.5%",0.3,0.29
"Cho'Gath","Top",8,"0.8%","0.6%","1.4%","25%","88%",9,25,22,1.2,"52.5%","19.1%","13%",-251,-227,-5.2,7.5,"20.9%",386,"19.7%","21.3%",0.49,0.15
"Kayle","Top",2,"0.2%","0.0%","0.2%","0%","100%",4,8,5,1.1,"56.3%","21.1%","50%",-286,-173,-16,9.5,"33.9%",471,"29.4%","28.7%",0.44,0.18
"Jax","Jungle",2,"0.2%","29.1%","53.4%","0%","50%",3,7,5,1.1,"53.3%","28.0%","50%",-333,-486,-13,5.4,"19.1%",260,"14.4%","17.5%",0.49,0.21
"Jarvan IV","Top",2,"0.2%","0.8%","2.0%","0%","100%",2,11,5,0.6,"41.2%","25.6%","0%",-335,-60,-10,7.2,"16.8%",374,"21.6%","18.4%",0.33,0.24
"Zilean","Middle",3,"0.3%","0.2%","0.7%","33%","67%",3,4,18,5.3,"80.8%","11.8%","0%",-369,-82,-6.7,7.8,"22.6%",378,"20.7%","19.5%",0.33,0.09
"Kassadin","Middle",6,"0.6%","0.0%","0.6%","33%","100%",10,10,23,3.3,"54.1%","11.0%","17%",-383,-85,-4.3,8.9,"28.3%",514,"25.3%","23.1%",0.4,0.25
