"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Lee Sin","Jungle",105,"10.5%","16.3%","26.8%","53%","60%",316,275,692,3.7,"74.8%","22.1%","21%",164,50,1.6,5.7,"16.1%",315,"14.7%","18.9%",0.61,0.33
"Taric","Support",3,"0.3%","0.1%","0.4%","100%","0%",2,2,23,12.5,"64.1%","14.3%","67%",160,90,0,1.6,"4.0%",98,"4.4%","10.3%",1.49,0.5
"Olaf","Jungle",1,"0.1%","0.4%","1.1%","0%","100%",4,4,2,1.5,"85.7%","28.6%","0%",155,408,6,6.3,"20.7%",527,"26.2%","23.7%",0.37,0.3
"Rumble","Jungle",2,"0.2%","16.9%","23.5%","50%","100%",4,3,5,3,"56.3%","15.8%","0%",155,342,12,7.7,"22.0%",378,"18.8%","20.8%",0.35,0.3
"Varus","ADC",131,"13.0%","18.1%","31.3%","50%","52%",545,332,681,3.7,"70.9%","19.1%","16%",153,109,4.8,9.2,"29.6%",632,"27.9%","25.8%",0.53,0.34
"Lux","Support",9,"0.9%","0.1%","1.0%","56%","33%",14,29,68,2.8,"75.9%","27.1%","22%",152,53,-9.3,0.8,"3.6%",367,"16.3%","10.7%",1.71,0.36
"Lucian","ADC",80,"8.0%","19.5%","27.7%","54%","53%",326,174,343,3.8,"69.0%","20.9%","10%",136,29,1.6,9.4,"31.0%",671,"29.8%","27.3%",0.47,0.38
"Lucian","Middle",2,"0.2%","19.5%","27.7%","50%","100%",11,7,15,3.7,"89.7%","28.0%","50%",133,59,-3.5,7.9,"26.1%",684,"28.8%","26.1%",0.51,0.35
"Ashe","ADC",59,"5.9%","7.8%","15.3%","36%","75%",192,168,357,3.3,"73.0%","19.3%","17%",130,38,1.2,9,"28.3%",555,"23.9%","24.8%",0.39,0.37
"Rek'Sai","Jungle",5,"0.5%","0.1%","0.6%","20%","80%",9,15,16,1.7,"59.5%","22.7%","40%",127,310,3.7,6.2,"16.6%",321,"16.4%","20.5%",0.37,0.45
"Yasuo","Middle",2,"0.2%","0.1%","0.3%","50%","100%",10,6,1,1.8,"64.7%","26.1%","0%",127,467,5,9.1,"25.4%",306,"20.1%","25.3%",0.42,0.14
"Akali","Top",4,"0.4%","5.0%","10.7%","25%","100%",11,16,16,1.7,"54.0%","18.2%","0%",108,300,-1.5,8,"26.7%",395,"19.8%","22.6%",0.31,0.28
"Yone","Middle",56,"5.6%","9.4%","15.3%","63%","75%",213,139,302,3.7,"66.5%","20.7%","13%",104,45,2.7,9.4,"28.9%",531,"23.5%","24.9%",0.38,0.23
"Fiora","Top",41,"4.1%","5.4%","9.5%","54%","83%",125,76,146,3.6,"48.0%","15.5%","12%",102,14,7.4,9.2,"27.8%",543,"24.5%","24.6%",0.39,0.2
"Nocturne","Jungle",68,"6.8%","10.2%","16.9%","46%","79%",179,191,467,3.4,"70.1%","20.2%","19%",93,112,4.5,6.1,"16.6%",323,"15.1%","19.3%",0.71,0.39
"Lissandra","Middle",34,"3.4%","4.5%","7.9%","44%","94%",83,103,250,3.2,"69.2%","22.8%","18%",90,-110,1.1,8.1,"24.5%",431,"22.1%","20.9%",0.33,0.26
"Kha'Zix","Jungle",79,"7.9%","3.9%","11.8%","53%","78%",280,182,345,3.4,"67.3%","18.8%","13%",89,63,1.5,6.9,"20.0%",410,"18.7%","22.2%",1.1,0.78
"LeBlanc","Middle",144,"14.3%","48.3%","63.0%","47%","35%",484,245,650,4.6,"62.3%","12.9%","12%",89,116,3,9.4,"29.0%",695,"31.2%","25.4%",0.36,0.34
"Tristana","Middle",170,"16.9%","30.6%","51.6%","59%","31%",700,388,770,3.8,"69.1%","18.9%","12%",89,13,1.9,9.6,"30.6%",607,"27.5%","26.6%",0.44,0.32
"Draven","ADC",50,"5.0%","9.1%","14.0%","50%","80%",196,103,208,3.9,"67.4%","16.8%","12%",88,49,3.7,9.3,"30.3%",534,"26.6%","28.7%",0.42,0.28
"Sylas","Middle",35,"3.5%","6.9%","10.9%","54%","71%",140,95,183,3.4,"60.9%","21.4%","14%",87,-43,-3,8.3,"25.3%",535,"24.1%","23.8%",0.31,0.23
"Annie","Support",17,"1.7%","32.1%","59.3%","53%","47%",16,46,144,3.5,"76.6%","25.0%","0%",81,-435,-15,0.6,"2.9%",208,"10.5%","9.9%",1.66,0.41
"Nami","Support",72,"7.2%","0.0%","7.2%","51%","43%",40,125,663,5.6,"81.9%","16.0%","14%",78,17,-4.5,0.5,"1.7%",173,"7.8%","9.3%",1.48,0.3
"Viego","Jungle",181,"18.0%","12.8%","30.9%","45%","65%",629,440,919,3.5,"72.0%","19.3%","22%",78,95,2.9,6,"16.8%",314,"15.3%","20.1%",0.36,0.45
"Sett","Support",6,"0.6%","0.1%","0.7%","17%","83%",7,21,27,1.6,"53.1%","23.6%","33%",72,35,-0.6,1.4,"3.4%",208,"8.4%","8.7%",1.66,0.57
"Jhin","ADC",4,"0.4%","0.1%","0.6%","0%","100%",4,7,11,2.1,"65.2%","12.3%","25%",70,119,-7.3,9.2,"29.8%",331,"17.6%","24.0%",0.38,0.21
"Ahri","Middle",266,"26.5%","15.7%","42.2%","51%","49%",810,494,1613,4.9,"71.3%","14.9%","8%",64,13,1.2,8.5,"25.1%",529,"25.7%","22.7%",0.5,0.31
"Aurelion Sol","Middle",13,"1.3%","1.4%","2.7%","46%","77%",71,22,60,6,"79.4%","12.0%","8%",57,60,-6,9.4,"28.7%",692,"33.2%","26.6%",0.42,0.23
"Pyke","Support",6,"0.6%","0.0%","0.6%","50%","100%",15,21,25,1.9,"47.6%","27.6%","0%",57,-373,0,1.7,"2.4%",182,"8.9%","10.8%",2.42,0.75
"Trundle","Top",1,"0.1%","0.4%","1.1%","0%","100%",1,7,1,0.3,"33.3%","25.9%","0%",52,-368,9,10.1,"34.0%",334,"19.3%","29.5%",0.5,0.18
"Karma","Support",11,"1.1%","1.5%","2.6%","9%","73%",7,37,53,1.6,"77.9%","23.7%","9%",51,-1,-7.5,0.7,"2.3%",249,"13.8%","9.8%",1.66,0.41
"K'Sante","Middle",30,"3.0%","25.7%","73.1%","50%","37%",66,65,125,2.9,"58.6%","17.3%","10%",49,56,1.3,7.7,"21.5%",279,"14.5%","20.4%",0.38,0.26
"Renata Glasc","Support",52,"5.2%","3.8%","9.0%","63%","88%",34,100,523,5.6,"77.3%","17.2%","13%",47,-56,-5.5,1,"2.6%",152,"6.9%","9.7%",1.87,0.39
"Trundle","Jungle",6,"0.6%","0.4%","1.1%","33%","83%",15,20,45,3,"67.4%","21.3%","33%",47,-104,-6.3,4.8,"14.7%",286,"12.5%","17.9%",0.36,0.45
"Urgot","Top",1,"0.1%","0.1%","0.2%","100%","100%",8,1,4,12,"80.0%","100.0%","0%",41,-1,2,9.8,"28.3%",565,"22.8%","25.6%",0.43,0.43
"Illaoi","Top",3,"0.3%","0.4%","0.7%","33%","100%",4,18,12,0.9,"55.2%","33.3%","0%",36,-308,2.7,7.2,"21.4%",561,"28.6%","20.3%",0.38,0.14
"Neeko","Middle",150,"14.9%","44.8%","60.3%","54%","24%",346,391,951,3.3,"64.1%","20.9%","6%",35,106,3.5,7.9,"21.4%",499,"24.2%","20.6%",0.33,0.21
"Nilah","ADC",7,"0.7%","1.9%","2.6%","57%","86%",47,22,49,4.4,"81.4%","19.8%","57%",34,801,0,8.9,"34.3%",549,"23.8%","28.4%",0.33,0.29
"Xin Zhao","Jungle",24,"2.4%","0.3%","2.7%","29%","88%",38,88,117,1.8,"62.2%","25.0%","21%",34,161,0.3,5.6,"15.0%",331,"17.1%","18.1%",0.33,0.39
"Samira","ADC",20,"2.0%","1.2%","3.2%","45%","100%",90,59,75,2.8,"66.0%","21.1%","15%",33,-167,-8.9,9,"28.1%",417,"21.3%","25.7%",0.59,0.39
"Zoe","Middle",2,"0.2%","0.1%","0.3%","0%","50%",3,4,5,2,"72.7%","12.9%","0%",33,22,2,7.9,"21.6%",583,"36.2%","22.5%",0.46,0.06
"Thresh","Support",63,"6.3%","5.6%","11.9%","40%","49%",45,201,551,3,"76.3%","22.4%","16%",29,92,2,1.1,"2.2%",137,"6.8%","9.2%",1.62,0.31
"Syndra","Middle",43,"4.3%","7.3%","11.6%","44%","79%",124,125,194,2.5,"66.4%","23.5%","7%",28,-43,2.1,8.3,"23.4%",575,"28.7%","22.3%",0.42,0.19
"Aphelios","ADC",470,"46.8%","13.6%","60.5%","48%","41%",1821,1146,1921,3.3,"66.9%","18.9%","8%",27,-28,1.5,9.8,"33.4%",611,"28.9%","27.8%",0.41,0.37
